MYYYY_generation,price_per_sq_m,price_direction,date_of_data_generation,id,isExclusiveness,isNew,livingArea,price,num_rooms.x,zipCode,deposit_rate,lagged_CPI,volatility_value,City,num_rooms_categorical,nr_weeks
Jun-22,6017.166622,Stayed the same,26/06/2022,188163701,FALSE,TRUE,113.01,680000,5,49000,-0.5,5.2,28.76,Angers,medium,1
Jun-22,2942.307692,Stayed the same,26/06/2022,185806849,FALSE,FALSE,91,267750,4,49000,-0.5,5.2,28.76,Angers,medium,1
Jun-22,4121.2,Stayed the same,26/06/2022,182777909,FALSE,FALSE,75,309090,4,49480,-0.5,5.2,28.76,Angers,medium,1
Jun-22,3825,Stayed the same,26/06/2022,184403285,FALSE,FALSE,40,153000,2,49300,-0.5,5.2,28.76,Angers,small,1
Jun-22,4483.333333,Stayed the same,26/06/2022,184972427,FALSE,FALSE,60,269000,3,49000,-0.5,5.2,28.76,Angers,medium,1
Jun-22,3240,Stayed the same,26/06/2022,184972425,FALSE,FALSE,75,243000,4,49000,-0.5,5.2,28.76,Angers,medium,1
Jun-22,3611.111111,Stayed the same,26/06/2022,184972423,FALSE,FALSE,90,325000,5,49000,-0.5,5.2,28.76,Angers,medium,1
Jun-22,4283.333333,Stayed the same,26/06/2022,183002819,FALSE,FALSE,60,257000,3,49000,-0.5,5.2,28.76,Angers,small,1
Jun-22,3700,Stayed the same,26/06/2022,184403283,FALSE,FALSE,60,222000,3,49300,-0.5,5.2,28.76,Angers,medium,1
Jun-22,3865.333333,Stayed the same,26/06/2022,184709059,FALSE,FALSE,75,289900,4,49000,-0.5,5.2,28.76,Angers,medium,1
Jun-22,4747.5,Stayed the same,26/06/2022,184972417,FALSE,FALSE,40,189900,2,49000,-0.5,5.2,28.76,Angers,small,1
Jun-22,3983.333333,Stayed the same,26/06/2022,184972415,FALSE,FALSE,60,239000,3,49000,-0.5,5.2,28.76,Angers,medium,1
Jun-22,3656.25,Stayed the same,26/06/2022,188057651,TRUE,TRUE,48,175500,2,49000,-0.5,5.2,28.76,Angers,small,1
Jun-22,2373.134328,Decreased,26/06/2022,186711751,FALSE,FALSE,67,159000,5,49100,-0.5,5.2,28.76,Angers,medium,1
Jun-22,1553.23355,Stayed the same,26/06/2022,188010315,TRUE,FALSE,70.82,110000,3,38160,-0.5,5.2,28.76,Grenoble,small,1
Jun-22,3775.510204,Decreased,26/06/2022,185798545,TRUE,FALSE,98,370000,3,38240,-0.5,5.2,28.76,Grenoble,medium,1
Jun-22,2786.885246,Stayed the same,26/06/2022,188036287,TRUE,TRUE,30.5,85000,1,38780,-0.5,5.2,28.76,Grenoble,medium,1
Jun-22,2303.825747,Decreased,26/06/2022,177395027,TRUE,FALSE,71.62,165000,4,38100,-0.5,5.2,28.76,Grenoble,small,1
Jun-22,1687.342304,Stayed the same,26/06/2022,187601649,FALSE,FALSE,47.56,80250,3,38100,-0.5,5.2,28.76,Grenoble,medium,1
Jun-22,2727.272727,Stayed the same,26/06/2022,186659877,FALSE,FALSE,55,150000,2,38300,-0.5,5.2,28.76,Grenoble,medium,1
